Date,All Other Carloads,Chemicals,Coal,Coke,Farm Products  Excluding Grain,Food Products,Grain,Grain Mill Products,Petroleum Products,Primary Forest Products,Covered_Hopper_lease_rate,QTR1,QTR2 ,QTR3,QTR4
4/1/2000,5120.00,30402.40,127598.00,4212.40,1009.2,8516.2,22896.6,8526.2,5297.6,4952.8,502.00,0,1,0,0
7/1/2000,5095.75,28761.00,124458.50,4268.75,1290.5,8116,19937.25,8951.25,6195,4943.75,432.00,0,0,1,0
10/1/2000,5193.00,28255.00,133211.75,4056.75,961.5,8484.75,22649.75,8922.75,5823,4487.75,516.00,0,0,0,1
1/1/2001,4100.00,26914.25,122127.75,3966.75,2011,7675,19186.75,8383.5,5243.75,4047.25,475.00,1,0,0,0
4/1/2001,5322.25,28600.00,140746.00,4432.75,1056,9080.25,23026,8798.25,5329.75,4217.5,458.00,0,1,0,0
7/1/2001,4747.25,26790.50,132578.50,3998.75,1079,8616,20061,8950.25,5950,4216.25,608.00,0,0,1,0
10/1/2001,4895.00,27389.25,136002.75,3620.00,940.75,8445.25,20595.75,8628.5,5953.25,4245,711.00,0,0,0,1
1/1/2002,3490.25,25738.75,132119.00,3045.75,1627.5,8254.5,20490.75,9080.5,5269.5,3678.25,688.50,1,0,0,0
4/1/2002,4097.00,28351.00,126959.00,3234.25,1164,8801.5,20381,9348.25,5222,3887.25,747.00,0,1,0,0
7/1/2002,4537.25,28484.25,130092.00,3519.50,1262.5,8386.75,19996.75,9248.5,5990.25,3921.75,674.00,0,0,1,0
10/1/2002,4621.50,27754.25,134890.00,3769.25,1013.25,8397.25,18861.75,8928.5,5514.5,3510,524.05,0,0,0,1
1/1/2003,3859.50,27417.50,129131.75,4302.00,1864.25,8122,20697.25,9145.75,5321.5,3213,490.55,1,0,0,0
4/1/2003,5157.25,29039.50,128262.00,4164.25,1065.5,8464.5,20648.5,9132.75,5093.5,3681.75,556.30,0,1,0,0
7/1/2003,4480.75,28295.25,130896.50,4948.50,1215.5,8718.5,18592,9292,5620.5,3570.25,690.30,0,0,1,0
10/1/2003,4561.25,28065.50,131795.75,5521.75,1077.75,8452.75,21379,8957.5,5626.75,3754,683.50,0,0,0,1
1/1/2004,3600.20,27841.80,125756.80,5307.80,1877.8,7665.6,22536,8549.6,5117.4,3394.2,708.00,1,0,0,0
4/1/2004,4730.00,29897.20,132090.20,5817.60,1031.6,8358,23139.6,9143.6,5326.8,3484.6,815.00,0,1,0,0
7/1/2004,4880.20,29519.00,131500.20,5623.20,1099.6,7981,20617.2,8629.2,5817.2,3250.4,707.30,0,0,1,0
10/1/2004,4419.60,29294.40,135490.20,5431.60,860.6,7923,21040.8,8754,5776.2,3182.8,655.30,0,0,0,1
1/1/2005,4310.00,28989.00,128613.60,4989.80,1412.8,7711.6,20723.6,8563.4,5636.8,3251.4,679.00,1,0,0,0
4/1/2005,4415.80,30344.80,140354.00,6618.00,1047.4,8281.2,23252,9286.8,5707,3173,636.25,0,1,0,0
7/1/2005,4321.00,29318.80,131708.40,5475.40,1214.8,8283,19826,9482.2,6077.8,3313.4,594.55,0,0,1,0
10/1/2005,4626.50,27654.25,139084.50,5657.25,1167.75,8586,21369.5,9029.5,5675.75,3117.25,655.90,0,0,0,1
1/1/2006,4948.50,27606.25,129327.75,4859.75,1089.75,7843,20656.75,8776,5820.25,2796.25,658.50,1,0,0,0
4/1/2006,5587.60,29113.40,139740.60,6489.60,1113,8752,23073.6,9478.6,5752.2,2948,658.30,0,1,0,0
7/1/2006,5259.75,28964.00,142326.75,5394.50,1144.25,8650,22257.75,9556.75,6449.25,2779.25,704.25,0,0,1,0
10/1/2006,4818.50,28145.00,142199.50,5882.00,1133.75,8784,22453.5,9216.5,6401,2581.25,710.95,0,0,0,1
1/1/2007,4157.75,27767.25,138123.25,6166.50,1174,8541.25,22810.75,8633.5,6037,2483.75,732.20,1,0,0,0
4/1/2007,5103.75,30828.25,137551.25,5386.75,999.75,8525.5,21648.75,9096.25,6152,2494,608.15,0,1,0,0
7/1/2007,5038.00,30202.00,140000.25,5402.50,1038,8655.5,20958.5,9330.25,6876.5,2493.25,560.40,0,0,1,0
10/1/2007,5054.00,30169.75,143811.00,5535.00,1000.25,8807.75,23934.25,8911,6094,2355.75,679.45,0,0,0,1
1/1/2008,4230.50,29031.75,134219.50,5020.25,990.25,8340.5,22875,8975.25,6220,2158.75,782.95,1,0,0,0
4/1/2008,4700.50,30950.75,145786.50,3857.50,1152.5,8066.25,24661.5,9875.5,6509.25,2171,709.35,0,1,0,0
7/1/2008,4543.00,30829.50,135808.75,3841.50,929.75,7907.75,22058,10211.25,6746.25,2284.75,540.65,0,0,1,0
10/1/2008,5092.00,26389.00,148054.50,3573.00,839.25,7145.75,21987.5,9416.5,6083.75,2169,532.90,0,0,0,1
1/1/2009,3755.80,22317.40,134635.40,3322.80,750.8,5936,18243.8,8593.2,5507.6,1618,551.35,1,0,0,0
4/1/2009,4581.75,24632.50,136088.50,2864.75,779,6726.75,19419,8931.75,5577,1301.25,542.40,0,1,0,0
7/1/2009,4464.75,25657.50,125106.25,2490.25,859.25,6442.5,16600,9727.5,6080,1600.25,486.30,0,0,1,0
10/1/2009,4313.60,27278.80,129031.40,2756.40,839.4,6329.4,20471,9000,5700.6,1605.8,460.75,0,0,0,1
1/1/2010,3225.40,25877.60,115334.80,2900.20,834.2,5730.2,20899.4,9982.6,5467.8,1482.2,486.05,1,0,0,0
4/1/2010,4342.80,28721.40,134695.80,3499.40,880.4,6441.4,23217.8,10352.4,5784,1717,562.20,0,1,0,0
7/1/2010,4301.80,28445.60,125666.40,3578.00,809.4,5951.4,19221.2,9643.6,6617.6,1605.6,552.50,0,0,1,0
10/1/2010,3902.20,29230.20,135075.20,3437.00,1084.2,6440.4,23291.4,9593,6432.8,1593,479.00,0,0,0,1
1/1/2011,3674.80,28785.00,124590.40,3229.20,1034,6173.8,22573.2,9610,6511.8,1488,595.40,1,0,0,0
4/1/2011,4791.40,31631.60,134928.60,3264.80,931.8,6595.4,23287.6,9479,6622.2,1452,684.35,0,1,0,0
7/1/2011,3991.60,29540.20,121766.40,3700.00,844.6,6094.8,21381.2,9600.4,6838.8,1490,627.65,0,0,1,0
10/1/2011,4342.25,29271.00,136118.00,3262.00,936.25,6109,18870.25,8922.25,7443.25,1515.75,620.95,0,0,0,1
1/1/2012,3722.00,28559.00,128651.25,3338.00,933,6053.75,21032.5,9414,7809.75,1490.25,711.55,1,0,0,0
4/1/2012,5213.50,30464.75,112994.50,3399.75,784,6471.75,21099.25,9473.75,8888.25,1390.25,798.90,0,1,0,0
7/1/2012,4663.50,29288.25,114607.25,3530.75,850.75,6582,19179.5,9805.75,10495.75,1563,804.25,0,0,1,0
10/1/2012,4314.75,29261.25,119641.25,3376.25,972.25,6714.75,19132.75,8755,11580.75,1491,718.40,0,0,0,1
1/1/2013,3892.00,28924.00,111594.25,3814.50,942.75,6123.5,18100.75,9409,12316.5,1457.5,655.60,1,0,0,0
4/1/2013,4378.75,30050.00,110855.50,3786.25,915.25,6447.25,16840.5,8858.5,13726.75,1595,640.15,0,1,0,0
7/1/2013,4140.00,29668.00,111431.75,3816.50,827.25,6371.25,15733,9003.5,13824.75,1498.5,654.00,0,0,1,0
10/1/2013,4291.50,29168.00,116350.00,3809.00,861.5,6278.75,16976.25,8400,12787.75,1581,572.75,0,0,0,1
1/1/2014,3913.75,29220.00,105633.00,3627.75,820,6007.75,20101.75,9600.5,14422,1519.25,583.40,1,0,0,0
4/1/2014,5118.75,30515.00,113339.75,3706.25,794.25,6299.25,20394.5,9751.75,14853,1565,733.15,0,1,0,0
7/1/2014,4659.75,29925.25,110165.25,3817.00,927.25,6037.75,18332.75,9566.5,15018.75,1673.25,828.70,0,0,1,0
10/1/2014,4885.75,29434.50,114301.25,4090.00,980,6006.25,17703.5,8699.75,16382.5,1697.75,800.80,0,0,0,1
1/1/2015,3666.40,29469.80,113191.40,3944.20,841,5806.2,23533.2,9415.4,15826.6,1468.8,770.40,1,0,0,0
4/1/2015,4765.50,30387.25,105489.75,3511.25,929,6310.25,22619.75,9971.25,13814,1449.25,833.10,0,1,0,0
7/1/2015,5411.00,29814.00,90900.25,4100.75,797.75,5823.25,18924.75,9832.5,13932.75,1549,875.45,0,0,1,0
10/1/2015,6486.40,30190.40,103760.60,3926.60,966.2,6150.6,21359.8,8942.8,13767.4,1534.8,852.20,0,0,0,1
1/1/2016,5381.20,29663.20,81615.00,3713.60,782.4,5749,21083.6,9029,12575,1253.8,743.20,1,0,0,0
4/1/2016,5948.80,32086.60,67238.60,4047.40,853,6190,21330.4,9336.8,10777.2,1352.2,781.15,0,1,0,0
7/1/2016,6244.00,29607.60,74779.20,4279.60,709,5818.2,21397.2,9370.8,10804.6,1274,734.55,0,0,1,0
10/1/2016,5783.00,30013.75,89236.25,4260.75,963,6265.25,24468,8856.75,10694.25,1145.75,683.55,0,0,0,1
1/1/2017,5029.50,30332.00,82170.00,4139.75,905,5667,22746.5,9145.75,10180.5,1131,740.15,1,0,0,0
4/1/2017,6251.00,31668.60,80006.20,4242.00,927.4,6311.2,23599.2,9093.2,9899.4,1253,718.90,0,1,0,0
7/1/2017,6423.50,31186.50,86578.50,4216.50,828,5825.25,22363.75,9210,9395.5,1227.75,698.35,0,0,1,0
10/1/2017,5334.25,30437.50,88481.25,4145.00,898,5872.25,20364,8580,8876.25,1169,530.15,0,0,0,1
1/1/2018,5442.00,31398.25,82463.50,4187.25,850.5,5768,21360.75,8911.75,10250.5,1133.5,494.00,1,0,0,0
4/1/2018,5821.25,33450.75,84964.25,4011.00,830.5,6090.75,23568.25,9506.5,9820.5,1062.25,591.20,0,1,0,0
7/1/2018,6432.00,32350.50,84190.25,4229.75,795.25,5784,23525.5,9930,11243.25,1146.25,547.65,0,0,1,0
