Date,All Other Carloads,Chemicals,Coal,Coke,Farm Products  Excluding Grain,Food Products,Grain,Grain Mill Products,Petroleum Products,Primary Forest Products,Total Cars + Intermodal,Total Intermodal,Trailers,Waste__Nonferrous_Scrap,Total Carloads,QTR1,QTR2 ,QTR3,QTR4,Covered_Hopper_lease_rate
4/1/2000,5120,30402.4,127598,4212.4,1009.2,8516.2,22896.6,8526.2,5297.6,4952.8,496567.6,170465.8,55298.4,9557.2,326101.8,0,1,0,0,502
7/1/2000,5095.75,28761,124458.5,4268.75,1290.5,8116,19937.25,8951.25,6195,4943.75,501609.25,177605,53223.5,9225.5,324004.25,0,0,1,0,432
10/1/2000,5193,28255,133211.75,4056.75,961.5,8484.75,22649.75,8922.75,5823,4487.75,510655.75,180487.25,53695.75,9037,330168.5,0,0,0,1,516
1/1/2001,4100,26914.25,122127.75,3966.75,2011,7675,19186.75,8383.5,5243.75,4047.25,445660.75,156566.5,48673.75,7374.25,289094.25,1,0,0,0,475
4/1/2001,5322.25,28600,140746,4432.75,1056,9080.25,23026,8798.25,5329.75,4217.5,496365.5,168960.75,49860.25,8726.25,327404.75,0,1,0,0,458
7/1/2001,4747.25,26790.5,132578.5,3998.75,1079,8616,20061,8950.25,5950,4216.25,493515.75,171817.75,48067,8984.5,321698,0,0,1,0,608
10/1/2001,4895,27389.25,136002.75,3620,940.75,8445.25,20595.75,8628.5,5953.25,4245,497548,177147.25,48465,8463,320400.75,0,0,0,1,711
1/1/2002,3490.25,25738.75,132119,3045.75,1627.5,8254.5,20490.75,9080.5,5269.5,3678.25,453732.75,154238.75,44270,7110.5,299494,1,0,0,0,688.5
4/1/2002,4097,28351,126959,3234.25,1164,8801.5,20381,9348.25,5222,3887.25,474616.25,167303,46555.5,8458.5,307313.25,0,1,0,0,747
7/1/2002,4537.25,28484.25,130092,3519.5,1262.5,8386.75,19996.75,9248.5,5990.25,3921.75,512589.5,187073.75,47430,9118,325515.75,0,0,1,0,674
10/1/2002,4621.5,27754.25,134890,3769.25,1013.25,8397.25,18861.75,8928.5,5514.5,3510,513072.5,189942,48034.25,9043.25,323130.5,0,0,0,1,524.05
1/1/2003,3859.5,27417.5,129131.75,4302,1864.25,8122,20697.25,9145.75,5321.5,3213,470867.75,169570.75,45803.75,7521.75,301297,1,0,0,0,490.55
4/1/2003,5157.25,29039.5,128262,4164.25,1065.5,8464.5,20648.5,9132.75,5093.5,3681.75,496874,183252,48701.75,8991.5,313622,0,1,0,0,556.3
7/1/2003,4480.75,28295.25,130896.5,4948.5,1215.5,8718.5,18592,9292,5620.5,3570.25,513342.75,192801.25,47971.25,9090.5,320541.5,0,0,1,0,690.3
10/1/2003,4561.25,28065.5,131795.75,5521.75,1077.75,8452.75,21379,8957.5,5626.75,3754,520132.75,194940.5,50637.5,9594.75,325192.25,0,0,0,1,683.5
1/1/2004,3600.2,27841.8,125756.8,5307.8,1877.8,7665.6,22536,8549.6,5117.4,3394.2,475089.8,174326.2,46131.4,8385.4,300763.6,1,0,0,0,708
4/1/2004,4730,29897.2,132090.2,5817.6,1031.6,8358,23139.6,9143.6,5326.8,3484.6,529135.2,201758.8,54073.4,10490.6,327376.4,0,1,0,0,815
7/1/2004,4880.2,29519,131500.2,5623.2,1099.6,7981,20617.2,8629.2,5817.2,3250.4,534961.8,209221.6,53512.4,9798.8,325740.2,0,0,1,0,707.3
10/1/2004,4419.6,29294.4,135490.2,5431.6,860.6,7923,21040.8,8754,5776.2,3182.8,544702.4,216577.8,54973.6,10139,328124.6,0,0,0,1,655.3
1/1/2005,4310,28989,128613.6,4989.8,1412.8,7711.6,20723.6,8563.4,5636.8,3251.4,509925.6,201979.4,53627.6,8829.2,307946.2,1,0,0,0,679
4/1/2005,4415.8,30344.8,140354,6618,1047.4,8281.2,23252,9286.8,5707,3173,541571.2,207225.2,53292.8,9471.2,334346,0,1,0,0,636.25
7/1/2005,4321,29318.8,131708.4,5475.4,1214.8,8283,19826,9482.2,6077.8,3313.4,543021.4,217238.6,51637,9193.2,325782.8,0,0,1,0,594.55
10/1/2005,4626.5,27654.25,139084.5,5657.25,1167.75,8586,21369.5,9029.5,5675.75,3117.25,562490.75,229798.75,56304.25,10433.75,332692,0,0,0,1,655.9
1/1/2006,4948.5,27606.25,129327.75,4859.75,1089.75,7843,20656.75,8776,5820.25,2796.25,519300.75,214048,56252.75,9083.75,305252.75,1,0,0,0,658.5
4/1/2006,5587.6,29113.4,139740.6,6489.6,1113,8752,23073.6,9478.6,5752.2,2948,557505.4,223393,54521.8,9901.6,334112.4,0,1,0,0,658.3
7/1/2006,5259.75,28964,142326.75,5394.5,1144.25,8650,22257.75,9556.75,6449.25,2779.25,581024.5,240191.75,53675.25,10464,340832.75,0,0,1,0,704.25
10/1/2006,4818.5,28145,142199.5,5882,1133.75,8784,22453.5,9216.5,6401,2581.25,576511.5,242630,52630.25,10291.5,333881.5,0,0,0,1,710.95
1/1/2007,4157.75,27767.25,138123.25,6166.5,1174,8541.25,22810.75,8633.5,6037,2483.75,531206.5,218057.25,49410.25,8362.5,313149.25,1,0,0,0,732.2
4/1/2007,5103.75,30828.25,137551.25,5386.75,999.75,8525.5,21648.75,9096.25,6152,2494,545992,222404.5,48489.25,10360.5,323587.5,0,1,0,0,608.15
7/1/2007,5038,30202,140000.25,5402.5,1038,8655.5,20958.5,9330.25,6876.5,2493.25,568293,236092.75,47455,10470.25,332200.25,0,0,1,0,560.4
10/1/2007,5054,30169.75,143811,5535,1000.25,8807.75,23934.25,8911,6094,2355.75,568118.5,236423,47806.25,10090.25,331695.5,0,0,0,1,679.45
1/1/2008,4230.5,29031.75,134219.5,5020.25,990.25,8340.5,22875,8975.25,6220,2158.75,518328,212475.25,47558.5,8347.25,305852.75,1,0,0,0,782.95
4/1/2008,4700.5,30950.75,145786.5,3857.5,1152.5,8066.25,24661.5,9875.5,6509.25,2171,533797.75,209550.25,45630,4151,324247.5,0,1,0,0,709.35
7/1/2008,4543,30829.5,135808.75,3841.5,929.75,7907.75,22058,10211.25,6746.25,2284.75,547239,226063.25,47119.5,4143,321175.75,0,0,1,0,540.65
10/1/2008,5092,26389,148054.5,3573,839.25,7145.75,21987.5,9416.5,6083.75,2169,542498.5,225551.75,45587.5,4238.75,316946.75,0,0,0,1,532.9
1/1/2009,3755.8,22317.4,134635.4,3322.8,750.8,5936,18243.8,8593.2,5507.6,1618,432432.6,174554.6,37312,3227.8,257878,1,0,0,0,551.35
4/1/2009,4581.75,24632.5,136088.5,2864.75,779,6726.75,19419,8931.75,5577,1301.25,447903.5,178646.25,30315.25,3183.25,269257.25,0,1,0,0,542.4
7/1/2009,4464.75,25657.5,125106.25,2490.25,859.25,6442.5,16600,9727.5,6080,1600.25,443899,185306.25,28905.5,3365.5,258592.75,0,0,1,0,486.3
10/1/2009,4313.6,27278.8,129031.4,2756.4,839.4,6329.4,20471,9000,5700.6,1605.8,470577.6,195436.6,29378.6,3864.6,275141,0,0,0,1,460.75
1/1/2010,3225.4,25877.6,115334.8,2900.2,834.2,5730.2,20899.4,9982.6,5467.8,1482.2,426371,179109.4,28674.2,3100.2,247261.6,1,0,0,0,486.05
4/1/2010,4342.8,28721.4,134695.8,3499.4,880.4,6441.4,23217.8,10352.4,5784,1717,488733,200859.6,29054.2,3530,287873.4,0,1,0,0,562.2
7/1/2010,4301.8,28445.6,125666.4,3578,809.4,5951.4,19221.2,9643.6,6617.6,1605.6,498387.4,216304.6,29820,3873,282082.8,0,0,1,0,552.5
10/1/2010,3902.2,29230.2,135075.2,3437,1084.2,6440.4,23291.4,9593,6432.8,1593,525834.2,229327.4,31285.4,3826.6,296506.8,0,0,0,1,479
1/1/2011,3674.8,28785,124590.4,3229.2,1034,6173.8,22573.2,9610,6511.8,1488,474140.8,202854.2,31455.2,2812.4,271286.6,1,0,0,0,595.4
4/1/2011,4791.4,31631.6,134928.6,3264.8,931.8,6595.4,23287.6,9479,6622.2,1452,515922.2,217852.4,31491.6,3114.8,298069.8,0,1,0,0,684.35
7/1/2011,3991.6,29540.2,121766.4,3700,844.6,6094.8,21381.2,9600.4,6838.8,1490,511426.4,226472.2,30310.2,3336.2,284954.2,0,0,1,0,627.65
10/1/2011,4342.25,29271,136118,3262,936.25,6109,18870.25,8922.25,7443.25,1515.75,531665.5,233457.5,30761.75,3395.25,298208,0,0,0,1,620.95
