Date,Quarter,All Other Carloads,Chemicals,Coal,Coke,Containers,Crushed_Stone_ Sand__Gravel,Farm Products  Excluding Grain,Food Products,Grain,Grain Mill Products,Iron and Steel Scrap1,Lumber__Wood,Metallic Ores,Motor_Vehicles__Parts,Nonmetallic Minerals,Petroleum Products,Primary Forest Products,Primary Metal Products,Pulp__Paper,Stone_Clay__Glass_Products,Total Cars + Intermodal,Total Intermodal,Trailers,Waste__Nonferrous_Scrap,Total Carloads,Covered Hoppers - Backlog,Covered Hoppers - Deliveries,Covered Hoppers - Orders,Covered_Hopper_lease_rate,QTR1,QTR2 ,QTR3,QTR4
4/1/2000,2,5120,30402.4,127598,4212.4,115167.4,16121.6,1009.2,8516.2,22896.6,8526.2,0,5829,6969,27908.6,7733.6,5297.6,4952.8,14276.4,9352.4,9822.6,496567.6,170465.8,55298.4,9557.2,326101.8,7465,2223,2259,502,0,1,0,0
7/1/2000,3,5095.75,28761,124458.5,4268.75,124381.5,18020,1290.5,8116,19937.25,8951.25,0,5565,9962.5,27874,8420.25,6195,4943.75,13244.25,9036.75,10638.25,501609.25,177605,53223.5,9225.5,324004.25,6900,2286,1645,432,0,0,1,0
10/1/2000,4,5193,28255,133211.75,4056.75,126791.5,17221,961.5,8484.75,22649.75,8922.75,0,5047.75,10253,26777.25,8089,5823,4487.75,12833.75,8929.75,9934,510655.75,180487.25,53695.75,9037,330168.5,5984,2190,1274,516,0,0,0,1
1/1/2001,1,4100,26914.25,122127.75,3966.75,107892.75,11742.75,2011,7675,19186.75,8383.5,0,4411,7218.5,19945,7466.75,5243.75,4047.25,11123.25,8413,7743.75,445660.75,156566.5,48673.75,7374.25,289094.25,4418,2703,1245,475,1,0,0,0
4/1/2001,2,5322.25,28600,140746,4432.75,119100.5,15630.5,1056,9080.25,23026,8798.25,0,5296.75,3915,26450.5,6974.25,5329.75,4217.5,12167.75,8343.25,9291.75,496365.5,168960.75,49860.25,8726.25,327404.75,3121,2033,736,458,0,1,0,0
7/1/2001,3,4747.25,26790.5,132578.5,3998.75,123750.75,19043.5,1079,8616,20061,8950.25,0,5492.5,6685,26623.5,7022.75,5950,4216.25,12468.5,8105.75,10284.5,493515.75,171817.75,48067,8984.5,321698,2097,1495,471,608,0,0,1,0
10/1/2001,4,4895,27389.25,136002.75,3620,128682.25,18632.5,940.75,8445.25,20595.75,8628.5,0,5023,7562.25,23710.5,6922.25,5953.25,4245,11547.25,8054.25,9770.25,497548,177147.25,48465,8463,320400.75,897,1253,53,711,0,0,0,1
1/1/2002,1,3490.25,25738.75,132119,3045.75,109968.75,13920.25,1627.5,8254.5,20490.75,9080.5,0,4634.75,6545.5,22942,6172.75,5269.5,3678.25,9739.75,8060.25,7573.5,453732.75,154238.75,44270,7110.5,299494,136,766,5,688.5,1,0,0,0
4/1/2002,2,4097,28351,126959,3234.25,120747.5,15920.25,1164,8801.5,20381,9348.25,0,5764,3982.25,25875.5,7194.75,5222,3887.25,11759.5,7629.75,9283.5,474616.25,167303,46555.5,8458.5,307313.25,30,149,43,747,0,1,0,0
7/1/2002,3,4537.25,28484.25,130092,3519.5,139643.75,19958.5,1262.5,8386.75,19996.75,9248.5,0,5802.75,9120.25,26721.25,7795.75,5990.25,3921.75,12660,8399.5,10500.25,512589.5,187073.75,47430,9118,325515.75,397,32,399,674,0,0,1,0
10/1/2002,4,4621.5,27754.25,134890,3769.25,141907.75,18699,1013.25,8397.25,18861.75,8928.5,0,5237.25,8972.5,25535.75,7633.75,5514.5,3510,12570,8369.75,9809,513072.5,189942,48034.25,9043.25,323130.5,672,156,431,524.05,0,0,0,1
1/1/2003,1,3859.5,27417.5,129131.75,4302,123767,11943.25,1864.25,8122,20697.25,9145.75,0,4507.75,8399,22111.5,6317.5,5321.5,3213,11059.5,8392.5,7969.75,470867.75,169570.75,45803.75,7521.75,301297,1005,266,599,490.55,1,0,0,0
4/1/2003,2,5157.25,29039.5,128262,4164.25,134550.25,15474.75,1065.5,8464.5,20648.5,9132.75,0,5292.5,4270.25,26735,7340,5093.5,3681.75,13012.75,8410,9385.75,496874,183252,48701.75,8991.5,313622,1365,366,726,556.3,0,1,0,0
7/1/2003,3,4480.75,28295.25,130896.5,4948.5,144830,19429,1215.5,8718.5,18592,9292,0,5697.5,7724.5,25334.25,7459,5620.5,3570.25,11135,8619.75,10422.25,513342.75,192801.25,47971.25,9090.5,320541.5,1108,363,106,690.3,0,0,1,0
10/1/2003,4,4561.25,28065.5,131795.75,5521.75,144303,19065.75,1077.75,8452.75,21379,8957.5,0,5295,7854.75,25351.75,8004.25,5626.75,3754,11655.75,8552.25,10626,520132.75,194940.5,50637.5,9594.75,325192.25,847,474,213,683.5,0,0,0,1
1/1/2004,1,3600.2,27841.8,125756.8,5307.8,128194.8,13984.4,1877.8,7665.6,22536,8549.6,0,4616.2,7403.2,19848.2,6566.6,5117.4,3394.2,11390.6,8416.6,8505.2,475089.8,174326.2,46131.4,8385.4,300763.6,1929,411,1493,708,1,0,0,0
4/1/2004,2,4730,29897.2,132090.2,5817.6,147685.4,17999,1031.6,8358,23139.6,9143.6,0,5975.6,5501.4,25905,7190.4,5326.8,3484.6,12699.4,8350.6,10245.2,529135.2,201758.8,54073.4,10490.6,327376.4,1642,295,80,815,0,1,0,0
7/1/2004,3,4880.2,29519,131500.2,5623.2,155709.2,18986.4,1099.6,7981,20617.2,8629.2,0,5930.8,7768.8,23868.8,8248.2,5817.2,3250.4,13130.2,8727,10364,534961.8,209221.6,53512.4,9798.8,325740.2,2094,309,761,707.3,0,0,1,0
10/1/2004,4,4419.6,29294.4,135490.2,5431.6,161604.2,19191.6,860.6,7923,21040.8,8754,0,5479.2,8623,23669.6,6357.4,5776.2,3182.8,13237.6,8714,10540,544702.4,216577.8,54973.6,10139,328124.6,3126,619,1651,655.3,0,0,0,1
1/1/2005,1,4310,28989,128613.6,4989.8,148351.8,14686,1412.8,7711.6,20723.6,8563.4,0,5334.2,6602,21026.6,7092,5636.8,3251.4,12345.4,8770.2,9058.6,509925.6,201979.4,53627.6,8829.2,307946.2,3978,731,1583,679,1,0,0,0
4/1/2005,2,4415.8,30344.8,140354,6618,153932.4,17948.8,1047.4,8281.2,23252,9286.8,0,6252.8,5401,23711,7099.6,5707,3173,13437,8653.2,9891.4,541571.2,207225.2,53292.8,9471.2,334346,4164,381,267,636.25,0,1,0,0
7/1/2005,3,4321,29318.8,131708.4,5475.4,165601.6,20673,1214.8,8283,19826,9482.2,0,6148,8566,23207.4,7799.4,6077.8,3313.4,11792.8,8707.8,10674.4,543021.4,217238.6,51637,9193.2,325782.8,4015,571,422,594.55,0,0,1,0
10/1/2005,4,4626.5,27654.25,139084.5,5657.25,173494.5,20597.5,1167.75,8586,21369.5,9029.5,0,5804,7346.25,23419.75,7781.75,5675.75,3117.25,12451.5,8397.25,10492,562490.75,229798.75,56304.25,10433.75,332692,5311,997,2293,655.9,0,0,0,1
1/1/2006,1,4948.5,27606.25,129327.75,4859.75,157795.25,16023.75,1089.75,7843,20656.75,8776,0,5554.25,5850,20404,5573,5820.25,2796.25,12093.25,8464.5,8482,519300.75,214048,56252.75,9083.75,305252.75,6519,1927,3005,658.5,1,0,0,0
4/1/2006,2,5587.6,29113.4,139740.6,6489.6,168871.2,19578.4,1113,8752,23073.6,9478.6,0,6297.8,4914.4,24876.6,4820.2,5752.2,2948,13960.4,8024.2,9690.2,557505.4,223393,54521.8,9901.6,334112.4,7935,1802,3315,658.3,0,1,0,0
7/1/2006,3,5259.75,28964,142326.75,5394.5,186516.5,22070.25,1144.25,8650,22257.75,9556.75,0,5909.25,7408.75,23452,6354.25,6449.25,2779.25,13653.5,8282.75,10455.75,581024.5,240191.75,53675.25,10464,340832.75,8694,1121,1880,704.25,0,0,1,0
10/1/2006,4,4818.5,28145,142199.5,5882,189999.75,20901,1133.75,8784,22453.5,9216.5,0,4893.75,7689.25,20523.5,6512.75,6401,2581.25,13707,8196.5,9551.25,576511.5,242630,52630.25,10291.5,333881.5,12018,1035,4334,710.95,0,0,0,1
1/1/2007,1,4157.75,27767.25,138123.25,6166.5,168647,15816,1174,8541.25,22810.75,8633.5,0,4067,6591.5,19570.75,5393,6037,2483.75,11455.5,8141.75,7856.25,531206.5,218057.25,49410.25,8362.5,313149.25,13381,1539,2902,732.2,1,0,0,0
