Date,Chemicals,Coal,Coke,Crushed_Stone_ Sand__Gravel,Iron and Steel Scrap1,Lumber__Wood,Metallic Ores,Motor_Vehicles__Parts,Nonmetallic Minerals,Petroleum Products,Primary Forest Products,Primary Metal Products,Pulp__Paper,Waste__Nonferrous_Scrap,Stone_Clay__Glass_Products,Tankcar_lease_rate,QTR1,QTR2 ,QTR3,QTR4
4/1/2000,30402.4,127598,4212.4,16121.6,0,5829,6969,27908.6,7733.6,5297.6,4952.8,14276.4,9352.4,9557.2,9822.6,547,0,1,0,0
7/1/2000,28761,124458.5,4268.75,18020,0,5565,9962.5,27874,8420.25,6195,4943.75,13244.25,9036.75,9225.5,10638.25,547,0,0,1,0
10/1/2000,28255,133211.75,4056.75,17221,0,5047.75,10253,26777.25,8089,5823,4487.75,12833.75,8929.75,9037,9934,591,0,0,0,1
1/1/2001,26914.25,122127.75,3966.75,11742.75,0,4411,7218.5,19945,7466.75,5243.75,4047.25,11123.25,8413,7374.25,7743.75,618,1,0,0,0
4/1/2001,28600,140746,4432.75,15630.5,0,5296.75,3915,26450.5,6974.25,5329.75,4217.5,12167.75,8343.25,8726.25,9291.75,613,0,1,0,0
7/1/2001,26790.5,132578.5,3998.75,19043.5,0,5492.5,6685,26623.5,7022.75,5950,4216.25,12468.5,8105.75,8984.5,10284.5,644.5,0,0,1,0
10/1/2001,27389.25,136002.75,3620,18632.5,0,5023,7562.25,23710.5,6922.25,5953.25,4245,11547.25,8054.25,8463,9770.25,627.5,0,0,0,1
1/1/2002,25738.75,132119,3045.75,13920.25,0,4634.75,6545.5,22942,6172.75,5269.5,3678.25,9739.75,8060.25,7110.5,7573.5,626,1,0,0,0
4/1/2002,28351,126959,3234.25,15920.25,0,5764,3982.25,25875.5,7194.75,5222,3887.25,11759.5,7629.75,8458.5,9283.5,616,0,1,0,0
7/1/2002,28484.25,130092,3519.5,19958.5,0,5802.75,9120.25,26721.25,7795.75,5990.25,3921.75,12660,8399.5,9118,10500.25,491,0,0,1,0
10/1/2002,27754.25,134890,3769.25,18699,0,5237.25,8972.5,25535.75,7633.75,5514.5,3510,12570,8369.75,9043.25,9809,467.5,0,0,0,1
1/1/2003,27417.5,129131.75,4302,11943.25,0,4507.75,8399,22111.5,6317.5,5321.5,3213,11059.5,8392.5,7521.75,7969.75,608.5,1,0,0,0
4/1/2003,29039.5,128262,4164.25,15474.75,0,5292.5,4270.25,26735,7340,5093.5,3681.75,13012.75,8410,8991.5,9385.75,612.5,0,1,0,0
7/1/2003,28295.25,130896.5,4948.5,19429,0,5697.5,7724.5,25334.25,7459,5620.5,3570.25,11135,8619.75,9090.5,10422.25,570,0,0,1,0
10/1/2003,28065.5,131795.75,5521.75,19065.75,0,5295,7854.75,25351.75,8004.25,5626.75,3754,11655.75,8552.25,9594.75,10626,626,0,0,0,1
1/1/2004,27841.8,125756.8,5307.8,13984.4,0,4616.2,7403.2,19848.2,6566.6,5117.4,3394.2,11390.6,8416.6,8385.4,8505.2,615.5,1,0,0,0
4/1/2004,29897.2,132090.2,5817.6,17999,0,5975.6,5501.4,25905,7190.4,5326.8,3484.6,12699.4,8350.6,10490.6,10245.2,599,0,1,0,0
7/1/2004,29519,131500.2,5623.2,18986.4,0,5930.8,7768.8,23868.8,8248.2,5817.2,3250.4,13130.2,8727,9798.8,10364,566.5,0,0,1,0
10/1/2004,29294.4,135490.2,5431.6,19191.6,0,5479.2,8623,23669.6,6357.4,5776.2,3182.8,13237.6,8714,10139,10540,678,0,0,0,1
1/1/2005,28989,128613.6,4989.8,14686,0,5334.2,6602,21026.6,7092,5636.8,3251.4,12345.4,8770.2,8829.2,9058.6,761.5,1,0,0,0
4/1/2005,30344.8,140354,6618,17948.8,0,6252.8,5401,23711,7099.6,5707,3173,13437,8653.2,9471.2,9891.4,745.5,0,1,0,0
7/1/2005,29318.8,131708.4,5475.4,20673,0,6148,8566,23207.4,7799.4,6077.8,3313.4,11792.8,8707.8,9193.2,10674.4,767.5,0,0,1,0
10/1/2005,27654.25,139084.5,5657.25,20597.5,0,5804,7346.25,23419.75,7781.75,5675.75,3117.25,12451.5,8397.25,10433.75,10492,722,0,0,0,1
1/1/2006,27606.25,129327.75,4859.75,16023.75,0,5554.25,5850,20404,5573,5820.25,2796.25,12093.25,8464.5,9083.75,8482,785,1,0,0,0
4/1/2006,29113.4,139740.6,6489.6,19578.4,0,6297.8,4914.4,24876.6,4820.2,5752.2,2948,13960.4,8024.2,9901.6,9690.2,832.5,0,1,0,0
7/1/2006,28964,142326.75,5394.5,22070.25,0,5909.25,7408.75,23452,6354.25,6449.25,2779.25,13653.5,8282.75,10464,10455.75,743,0,0,1,0
